"location","variable","sex","Unit","Date","Value"
"Eastern Cape","Population estimate","Total","Persons","2011",6829958
"Eastern Cape","Population estimate","Total","Persons","2013",6620100
"Eastern Cape","Population estimate","Total","Persons","2014",6786900
"Eastern Cape","Population estimate","Total","Persons","2015",6916200
"Eastern Cape","Population estimate","Total","Persons","2016",7061700
"Free State","Population estimate","Total","Persons","2011",2759644
"Free State","Population estimate","Total","Persons","2013",2753200
"Free State","Population estimate","Total","Persons","2014",2786800
"Free State","Population estimate","Total","Persons","2015",2817900
"Free State","Population estimate","Total","Persons","2016",2861600
"Gauteng","Population estimate","Total","Persons","2011",11328203
"Gauteng","Population estimate","Total","Persons","2013",12728400
"Gauteng","Population estimate","Total","Persons","2014",12914800
"Gauteng","Population estimate","Total","Persons","2015",13200300
"Gauteng","Population estimate","Total","Persons","2016",13498200
"KwaZulu-Natal","Population estimate","Total","Persons","2011",10819130
"KwaZulu-Natal","Population estimate","Total","Persons","2013",10456900
"KwaZulu-Natal","Population estimate","Total","Persons","2014",10694400
"KwaZulu-Natal","Population estimate","Total","Persons","2015",10919100
"KwaZulu-Natal","Population estimate","Total","Persons","2016",11079700
"Limpopo","Population estimate","Total","Persons","2011",5554657
"Limpopo","Population estimate","Total","Persons","2013",5518000
"Limpopo","Population estimate","Total","Persons","2014",5630500
"Limpopo","Population estimate","Total","Persons","2015",5726800
"Limpopo","Population estimate","Total","Persons","2016",5803900
"Mpumalanga","Population estimate","Total","Persons","2011",3657181
"Mpumalanga","Population estimate","Total","Persons","2013",4128000
"Mpumalanga","Population estimate","Total","Persons","2014",4229300
"Mpumalanga","Population estimate","Total","Persons","2015",4283900
"Mpumalanga","Population estimate","Total","Persons","2016",4328300
"Northern Cape","Population estimate","Total","Persons","2011",1096731
"Northern Cape","Population estimate","Total","Persons","2013",1162900
"Northern Cape","Population estimate","Total","Persons","2014",1166700
"Northern Cape","Population estimate","Total","Persons","2015",1185600
"Northern Cape","Population estimate","Total","Persons","2016",1191700
"North West","Population estimate","Total","Persons","2011",3253390
"North West","Population estimate","Total","Persons","2013",3597600
"North West","Population estimate","Total","Persons","2014",3676300
"North West","Population estimate","Total","Persons","2015",3707000
"North West","Population estimate","Total","Persons","2016",3790600
"Western Cape","Population estimate","Total","Persons","2011",5287863
"Western Cape","Population estimate","Total","Persons","2013",6016900
"Western Cape","Population estimate","Total","Persons","2014",6116300
"Western Cape","Population estimate","Total","Persons","2015",6200100
"Western Cape","Population estimate","Total","Persons","2016",6293200
